Number,Company,Company URL,Company URL,SAB Link,SAB,Ticker,Whale URL,Crunchbase URL,Venture Funders,Whale URL,Public Holders,# of High Quality Public Holders,Crunchbase URL,Peptide Specialist?,Pitchbook URL
26,Almac Group,https://www.almacgroup.com/,https://www.almacgroup.com/,https://www.almacgroup.com/about/,1,,,https://www.crunchbase.com/organization/almac-group/company_financials,1,,,,https://www.crunchbase.com/organization/almac-group/company_financials,,https://pitchbook.com/profiles/company/125135-56
27,Altimmune Inc. ,https://altimmune.com/,https://altimmune.com/,https://altimmune.com/about-us/#board-bios,1,ALT,https://whalewisdom.com/stock/alt,https://www.crunchbase.com/organization/vaxin-inc/company_financials,N/A,https://whalewisdom.com/stock/alt,,,https://www.crunchbase.com/organization/vaxin-inc/company_financials,,https://pitchbook.com/profiles/company/55398-43
28,"Alume Biosciences, Inc.",https://alumebiosciences.com/,https://alumebiosciences.com/,https://alumebiosciences.com/about-us/,2,,,https://www.crunchbase.com/organization/alume-biosciences/company_financials,2,,,,https://www.crunchbase.com/organization/alume-biosciences/company_financials,,https://pitchbook.com/profiles/company/265542-31
29,Alzinova AB,https://www.alzinova.com/,https://www.alzinova.com/,http://alzinova.com/our-company/advisers-collaborators/,2,ALZ,https://whalewisdom.com/stock/alz,https://www.crunchbase.com/organization/alzinova-ab/company_financials,1,https://whalewisdom.com/stock/alz,,,https://www.crunchbase.com/organization/alzinova-ab/company_financials,,https://pitchbook.com/profiles/company/119416-15
30,"Ambrilia Biopharma, Inc.",https://www.fiercebiotech.com/special-report/ambrilia-biopharma-2011-biotech-graveyard,https://www.fiercebiotech.com/special-report/ambrilia-biopharma-2011-biotech-graveyard,no page,1,AMB,https://whalewisdom.com/stock/amb,https://biopharmguy.com/links/company-by-name-defunct.php,N/A,https://whalewisdom.com/stock/amb,,,https://sagimet.com/about/board-of-directors/,,https://tracxn.com/d/companies/ambrilla.com
31,amcure GmbH,https://amcure.com/,https://amcure.com/,https://amcure.com/about-us/#advisory-board,2,,,https://www.crunchbase.com/organization/amcure/company_financials,2,,,,https://www.marketwatch.com/press-release/tenecteplase-market-to-experience-a-substantial-cagr-during-the-forecast-period-2018-to-2023---by-genentec-inc-gennova-pharmaceutical-merck-ltd-hisun-usa-etc-2021-01-17,,https://www.linkedin.com/pulse/global-healthcare-25-deals-investments-transactions-51-de-salaberry
32,"Amgen, Inc.",https://www.amgen.com/,https://www.amgen.com/,large cap,N/A,AMGN,https://whalewisdom.com/stock/amgn,https://www.crunchbase.com/organization/amgen-2/company_financials,N/A,https://whalewisdom.com/stock/amgn,,,https://www.crunchbase.com/organization/amgen-2/company_financials,,https://pitchbook.com/profiles/company/11108-71
33,AmideBio LLC,https://www.amidebio.com/,https://www.amidebio.com/,http://amidebio.com/team/scientific-advisory-board/#toggle-id-1-closed,2,,,https://www.crunchbase.com/organization/amidebio/company_financials,2,,,,https://docs.google.com/spreadsheets/d/1cO6eTxk3-1iCFmP71AxPppB_hNpXoW9mtR2Wm3TbmRU,,https://pitchbook.com/profiles/company/62954-47
34,Amolyt Pharma,https://amolytpharma.com/,https://amolytpharma.com/,https://amolytpharma.com/about-us/,2,,,https://pitchbook.com/profiles/company/277552-36,2,,,,https://pitchbook.com/profiles/company/277552-36,,https://pitchbook.com/profiles/company/277552-36
35,Amryt Pharma plc,https://www.amrytpharma.com/,https://www.amrytpharma.com/,https://amrytpharma.com/about-us/our-team/#board-of-directors,1,AMYT,https://whalewisdom.com/stock/amyt,https://www.crunchbase.com/hub/city-of-dublin-companies-that-exited,N/A,https://whalewisdom.com/stock/amyt,,,https://www.crunchbase.com/hub/city-of-dublin-companies-that-exited,,https://pitchbook.com/profiles/company/154143-28
36,Amyndas Pharmaceuticals,https://www.amyndas.com/,https://www.amyndas.com/,http://amyndas.com/management/,1,,,https://www.crunchbase.com/organization/amyndas-pharmaceuticals-s-a,2,,,,https://www.crunchbase.com/search/organizations/field/organizations/rank_org/200476,,https://pitchbook.com/
37,"Amytrx Therapeutics, Inc.",https://www.amytrx.com/,https://www.amytrx.com/,http://amytrx.com/about,1,,,https://pitchbook.com/profiles/company/149801-05,2,,,,https://pitchbook.com/profiles/company/149801-05,,https://pitchbook.com/profiles/company/149801-05
38,Andarix Pharmaceuticals,http://www.andarix.com/,http://www.andarix.com/,http://andarix.com/location/,1,,,http://crunchbase.com/organization/andarix-pharmaceuticals,N/A,,,,https://www.crunchbase.com/search/organization.companies/field/organizations/rank_org_company/163156,,http://www.andarix.com/
39,Anergis SA,https://www.pharmiweb.com/press-release/2020-07-09/anergis-and-virometix-announce-research-collaboration-to-use-synthetic-virus-like-particles-for-ultra-fast-allergy-immunotherapy,https://www.pharmiweb.com/press-release/2020-07-09/anergis-and-virometix-announce-research-collaboration-to-use-synthetic-virus-like-particles-for-ultra-fast-allergy-immunotherapy,https://web.archive.org/web/20180424021827/http://www.anergis.ch/,1,,,https://www.crunchbase.com/organization/anergis/company_financials,2,,,,https://www.crunchbase.com/search/organizations/field/organizations/rank_org/50273,,https://tracxn.com/d/soonicorn-awards/top-startups-in-switzerland-tech-2020
40,"Anexon, Inc.",https://www.crunchbase.com/organization/anexon,https://www.crunchbase.com/organization/anexon,https://web.archive.org/web/20160322102713/http://anexonrx.com/about.html,2,,,crunchbase.com/organization/anexon/company_financials,3,,,,https://www.crunchbase.com/organization/mayo-clinic-ventures/investor_financials,,https://pitchbook.com/profiles/company/52771-33
41,"AnGes, Inc.",https://www.bloomberg.com/profile/company/4563:JP,https://www.bloomberg.com/profile/company/4563:JP,http://anges.co.jp/en/company/#officers,1,4563,https://whalewisdom.com/stock/4563,https://www.crunchbase.com/organization/anges-inc/company_financials,2,https://whalewisdom.com/stock/4563,,,https://www.crunchbase.com/organization/anges-inc/company_financials,,https://pitchbook.com/profiles/company/55587-34
42,"Angiochem, Inc.",http://angiochem.com/,http://angiochem.com/,http://angiochem.com/board-of-directors,1,,,https://www.crunchbase.com/organization/angiochem/company_financials,2,,,,https://www.crunchbase.com/organization/angiochem/company_financials,,https://pitchbook.com/profiles/company/53935-75
